stateAbbr,stateName,smoker,physicalActivity,householdIncome,depression,diabetes,heartAttack,,,,,,,,,
AL,Alabama,21.1,72.40%,"42,830",21.30%,12.90%,5.9,,CORRELATIONS,,,,,,,
AK,Alaska,19.9,80.80%,"71,583",15.60%,7.40%,3.3,,,Current Smoker (%),Physical Activity Last Month (%),Household Income (Median),,,,
AZ,Arizona,16.5,78.80%,"50,068",18.70%,10.10%,4.4,,Depression Ever (%),0.505088209,-0.148847404,-0.523771932,,,,
AR,Arkansas,24.7,69.40%,"41,262",21.50%,12.80%,6.7,,Diabetes Ever (%),0.674129287,-0.865836725,-0.61669255,,,,
CA,California,12.9,78.30%,"61,933",13.30%,10.30%,3.5,,Heart Attack Ever (%),0.831874664,-0.681697141,-0.731583036,,,,
CO,Colorado,15.7,83.60%,"61,303",17.00%,7.30%,3.1,,,,,,,,,
CT,Connecticut,15.4,79.40%,"70,048",18.30%,9.20%,3.7,,*Correlation above 0.5 in absolute value suggests a strong relationship.,,,,,,,
DE,Delaware,19.9,75.10%,"59,716",18.30%,11.10%,5.0,,,,,,,,,
DC,District of Columbia,16.4,79.20%,"71,648",18.10%,8.40%,2.6,,,,,,,,,
FL,Florida,17.7,76.30%,"47,463",16.20%,11.20%,5.3,,,,,,,,,
GA,Georgia,17.4,76.40%,"49,321",18.30%,11.60%,4.5,,,,,,,,,
HI,Hawaii,14.1,80.40%,"69,592",10.70%,9.80%,3.1,,,,,,,,,
ID,Idaho,15.9,81.30%,"47,861",19.50%,7.60%,3.7,,,,,,,,,
IL,Illinois,16.5,76.10%,"57,444",16.70%,10.10%,3.7,,,,,,,,,
IN,Indiana,22.9,73.90%,"49,446",20.70%,10.70%,5.0,,,,,,,,,
IA,Iowa,18.5,77.40%,"53,712",18.70%,9.50%,4.4,,,,,,,,,
KS,Kansas,18.1,76.20%,"52,504",18.60%,10.30%,4.2,,,,,,,,,
KY,Kentucky,26.2,71.80%,"42,958",23.90%,12.50%,6.8,,,,,,,,,
LA,Louisiana,24.0,70.50%,"44,555",18.70%,11.30%,5.2,,,,,,,,,
ME,Maine,19.3,80.30%,"49,462",23.70%,9.50%,5.5,,,,,,,,,
MD,Maryland,14.6,78.60%,"73,971",15.90%,10.10%,3.2,,,,,,,,,
MA,Massachusetts,14.7,79.90%,"69,160",21.70%,9.70%,4.1,,,,,,,,,
MI,Michigan,21.2,74.50%,"49,847",20.50%,10.40%,5.2,,,,,,,,,
MN,Minnesota,16.3,79.80%,"61,481",18.20%,8.10%,3.8,,,,,,,,,
MS,Mississippi,23.0,68.40%,"39,680",19.90%,13.00%,4.9,,,,,,,,,
MO,Missouri,20.6,75.00%,"48,363",21.70%,11.10%,5.4,,,,,,,,,
MT,Montana,19.9,80.40%,"46,328",20.40%,8.80%,4.2,,,,,,,,,
NE,Nebraska,17.3,78.70%,"52,686",17.70%,9.20%,3.8,,,,,,,,,
NV,Nevada,17.0,77.50%,"51,450",15.60%,9.60%,4.8,,,,,,,,,
NH,New Hampshire,17.5,80.70%,"66,532",21.00%,9.20%,3.8,,,,,,,,,
NJ,New Jersey,15.1,76.70%,"71,919",13.40%,9.70%,4.2,,,,,,,,,
NM,New Mexico,19.2,76.70%,"44,803",21.10%,11.50%,4.2,,,,,,,,,
NY,New York,14.4,74.10%,"58,878",15.90%,10.00%,3.8,,,,,,,,,
NC,North Carolina,19.1,76.80%,"46,556",19.00%,10.80%,5.1,,,,,,,,,
ND,North Dakota,19.9,78.70%,"59,029",17.30%,8.60%,4.6,,,,,,,,,
OH,Ohio,21.0,75.10%,"49,308",20.90%,11.70%,5.4,,,,,,,,,
OK,Oklahoma,21.1,71.70%,"47,529",21.80%,12.00%,5.5,,,,,,,,,
OR,Oregon,17.0,83.50%,"51,075",24.00%,9.00%,4.6,,,,,,,,,
PA,Pennsylvania,19.9,76.70%,"53,234",19.70%,11.20%,4.8,,,,,,,,,
RI,Rhode Island,16.3,77.50%,"54,891",20.60%,9.50%,4.3,,,,,,,,,
SC,South Carolina,21.5,74.70%,"45,238",19.90%,12.00%,4.6,,,,,,,,,
SD,South Dakota,18.6,78.80%,"50,979",16.60%,9.10%,5.1,,,,,,,,,
TN,Tennessee,24.2,73.20%,"44,361",21.40%,13.00%,5.7,,,,,,,,,
TX,Texas,14.5,72.40%,"53,035",14.60%,11.00%,3.7,,,,,,,,,
UT,Utah,9.7,83.20%,"60,922",20.70%,7.10%,2.9,,,,,,,,,
VT,Vermont,16.4,81.00%,"54,166",21.80%,7.90%,3.8,,,,,,,,,
VA,Virginia,19.5,76.50%,"64,902",17.40%,9.70%,4.2,,,,,,,,,
WA,Washington,15.3,81.90%,"61,366",21.60%,8.90%,3.8,,,,,,,,,
WV,West Virginia,26.7,71.30%,"41,059",23.60%,14.10%,7.4,,,,,,,,,
WI,Wisconsin,17.4,78.80%,"52,622",17.00%,9.00%,3.7,,,,,,,,,
WY,Wyoming,19.5,77.90%,"57,055",19.00%,8.40%,4.6,,,,,,,,,
