GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0400000US01,01,Alabama,42830,598
0400000US02,02,Alaska,71583,1784
0400000US04,04,Arizona,50068,483
0400000US05,05,Arkansas,41262,653
0400000US06,06,California,61933,238
0400000US08,08,Colorado,61303,487
0400000US09,09,Connecticut,70048,828
0400000US10,10,Delaware,59716,1674
0400000US11,11,District of Columbia,71648,1996
0400000US12,12,Florida,47463,329
0400000US13,13,Georgia,49321,543
0400000US15,15,Hawaii,69592,1456
0400000US16,16,Idaho,47861,1275
0400000US17,17,Illinois,57444,429
0400000US18,18,Indiana,49446,487
0400000US19,19,Iowa,53712,761
0400000US20,20,Kansas,52504,706
0400000US21,21,Kentucky,42958,697
0400000US22,22,Louisiana,44555,738
0400000US23,23,Maine,49462,1112
0400000US24,24,Maryland,73971,867
0400000US25,25,Massachusetts,69160,957
0400000US26,26,Michigan,49847,385
0400000US27,27,Minnesota,61481,471
0400000US28,28,Mississippi,39680,773
0400000US29,29,Missouri,48363,567
0400000US30,30,Montana,46328,1217
0400000US31,31,Nebraska,52686,688
0400000US32,32,Nevada,51450,683
0400000US33,33,New Hampshire,66532,1297
0400000US34,34,New Jersey,71919,438
0400000US35,35,New Mexico,44803,849
0400000US36,36,New York,58878,393
0400000US37,37,North Carolina,46556,381
0400000US38,38,North Dakota,59029,1681
0400000US39,39,Ohio,49308,363
0400000US40,40,Oklahoma,47529,454
0400000US41,41,Oregon,51075,490
0400000US42,42,Pennsylvania,53234,420
0400000US44,44,Rhode Island,54891,1488
0400000US45,45,South Carolina,45238,507
0400000US46,46,South Dakota,50979,1027
0400000US47,47,Tennessee,44361,561
0400000US48,48,Texas,53035,377
0400000US49,49,Utah,60922,658
0400000US50,50,Vermont,54166,1724
0400000US51,51,Virginia,64902,624
0400000US53,53,Washington,61366,485
0400000US54,54,West Virginia,41059,651
0400000US55,55,Wisconsin,52622,433
0400000US56,56,Wyoming,57055,1983
0400000US72,72,Puerto Rico,18928,367
